Model_name,Year_model,Manufacturer,Car_name,Type,Condition,Distance,Color,Body_type,Fuel_type,Engine_cc,Price
رولز رويس كولينان 2023,2023,رولز رويس,كولينان,أوتوماتيك,جديدة,0,Black,SUV,Gas,6400.0,48000000
بي واى دى ليوبارد5 2025,2025,بي واى دى,ليوبارد5,أوتوماتيك,جديدة,0,Black,SUV,Hybrid,1500.0,2950000
مرسيدس C180 2022,2022,مرسيدس,C180,أوتوماتيك,مستعملة,68000,Maroon,Sedan,Gas,1500.0,2400000
مرسيدس E200 2025,2025,مرسيدس,E200,أوتوماتيك,مستعملة,42000,Black,Sedan,Gas,2000.0,4400000
فولكس فاجن تيجوان 2021,2021,فولكس فاجن,تيجوان,أوتوماتيك,مستعملة,600,Silver,SUV,Gas,1400.0,1900000
بورش كايين كوبيه 2022,2022,بورش,كايين كوبيه,أوتوماتيك,مستعملة,20000,Gray,SUV,Gas,4000.0,8700000
شيري تيجو 9 2026,2026,شيري,تيجو 9,أوتوماتيك,جديدة,0,White,SUV,Hybrid,1500.0,2000000
بي ام دبليو 730Li 2022,2022,بي ام دبليو,730Li,أوتوماتيك,مستعملة,116000,Black,Sedan,Gas,2000.0,5000000
بي ام دبليو M4 2025,2025,بي ام دبليو,M4,أوتوماتيك,جديدة,0,Black,Coupe,Gas,3000.0,12000000
ميتسوبيشي ميراج 2025,2025,ميتسوبيشي,ميراج,أوتوماتيك,جديدة,0,White,Hatchback,Gas,1200.0,755000
بي ام دبليو 218i 2023,2023,بي ام دبليو,218i,أوتوماتيك,مستعملة,6000,Black,Sedan,Gas,1500.0,2100000
مرسيدس E300 2019,2019,مرسيدس,E300,أوتوماتيك,مستعملة,28000,White,Sedan,Gas,2000.0,3100000
رينج روفر فيلار 2025,2025,رينج روفر,فيلار,أوتوماتيك,جديدة,0,White,SUV,Gas,2000.0,6000000
مرسيدس C200 2023,2023,مرسيدس,C200,أوتوماتيك,مستعملة,13000,Red,Sedan,Gas,1500.0,2950000
مرسيدس GLE 450 2024,2024,مرسيدس,GLE 450,أوتوماتيك,مستعملة,12800,Black,SUV,Gas,3000.0,6000000
هيونداى النترا AD 2026,2026,هيونداى,النترا AD,أوتوماتيك,جديدة,0,Dark Grey,Sedan,Gas,1600.0,1120000
أوبل أسترا 2013,2013,أوبل,أسترا,أوتوماتيك,مستعملة,165000,Brown,Sedan,Gas,1600.0,500000
ستروين سى اليزيه 2019,2019,ستروين,سى اليزيه,أوتوماتيك,مستعملة,36000,Silver,Sedan,Gas,1600.0,650000
ميتسوبيشي ميراج 2025,2025,ميتسوبيشي,ميراج,أوتوماتيك,جديدة,0,White,Hatchback,Gas,1200.0,755000
ميتسوبيشي ميراج 2024,2024,ميتسوبيشي,ميراج,أوتوماتيك,مستعملة,12000,Silver,Hatchback,Gas,800.0,670000
فولكس فاجن تيجوان 2026,2026,فولكس فاجن,تيجوان,أوتوماتيك,جديدة,0,Gray,SUV,Gas,1400.0,2390000
جيلي ستار راي 2025,2025,جيلي,ستار راي,أوتوماتيك,مستعملة,20000,Gray,SUV,Gas,1500.0,1400000
بيجو 2008 2020,2008,بيجو,2020,أوتوماتيك,مستعملة,197000,Black,Hatchback,Gas,1600.0,700000
كيا كارينز 2017,2017,كيا,كارينز,أوتوماتيك,مستعملة,145000,Gray,Hatchback,Gas,1600.0,850000
مرسيدس C200 2023,2023,مرسيدس,C200,أوتوماتيك,مستعملة,6000,Black,Sedan,Gas,1600.0,3100000
سيات تاراكو 2021,2021,سيات,تاراكو,أوتوماتيك,مستعملة,180000,Blue,SUV,Gas,1400.0,1400000
مرسيدس C200 2023,2023,مرسيدس,C200,أوتوماتيك,مستعملة,6000,Black,Sedan,Gas,1500.0,3100000
جيلي ستار راي 2025,2025,جيلي,ستار راي,أوتوماتيك,مستعملة,20000,Gray,SUV,Gas,1500.0,1400000
بيجو 2008 2020,2008,بيجو,2020,أوتوماتيك,مستعملة,200000,Black,Hatchback,Gas,1600.0,700000
ميتسوبيشي ميراج 2025,2025,ميتسوبيشي,ميراج,أوتوماتيك,جديدة,0,Blue,Hatchback,Gas,1200.0,755000
فورد فوكاس 2021,2021,فورد,فوكاس,أوتوماتيك,مستعملة,175000,Black,Sedan,Gas,1500.0,750000
شيري تيجو 8 2022,2022,شيري,تيجو 8,أوتوماتيك,مستعملة,90500,Blue,Hatchback,Gas,1500.0,870000
بيجو 3008 2023,2023,بيجو,3008,أوتوماتيك,مستعملة,51000,Blue,SUV,Gas,1600.0,1600000
بي ام دبليو M4 2025,2025,بي ام دبليو,M4,أوتوماتيك,جديدة,0,Black,Coupe,Gas,3000.0,12000000
ميني John Cooper Works 2016,2016,ميني,John Cooper Works,أوتوماتيك,مستعملة,69000,Black,Hatchback,Gas,1600.0,1380000
مرسيدس E200 2021,2021,مرسيدس,E200,أوتوماتيك,جديدة,0,White,Sedan,Gas,2000.0,3150000
ميتسوبيشي ميراج 2025,2025,ميتسوبيشي,ميراج,أوتوماتيك,جديدة,0,Blue,Hatchback,Gas,1200.0,755000
هيونداى توسان 2026,2026,هيونداى,توسان,أوتوماتيك,جديدة,0,White,SUV,Gas,1600.0,1725000
أوبل أسترا 2008,2008,أوبل,أسترا,أوتوماتيك,مستعملة,200000,Red,Hatchback,Gas,1800.0,370000
هيونداى النترا AD 2026,2026,هيونداى,النترا AD,أوتوماتيك,جديدة,0,Gray,Sedan,Gas,1600.0,1015000
رينو كادجار 2020,2020,رينو,كادجار,أوتوماتيك,مستعملة,190,Green,SUV,Gas,1200.0,830000
كيا سبورتاج 2013,2013,كيا,سبورتاج,أوتوماتيك,مستعملة,56000,Gray,SUV,Gas,1600.0,1150000
هيونداى ماتريكس 2006,2006,هيونداى,ماتريكس,أوتوماتيك,مستعملة,260000,Black,Hatchback,Gas,1600.0,410000
لاند روفر رانج روفر ايفوك 2026,2026,لاند روفر,رانج ايفوك,أوتوماتيك,جديدة,0,Black,SUV,Gas,1500.0,4250000
مرسيدس CLA 200 2025,2025,مرسيدس,CLA 200,أوتوماتيك,مستعملة,3000,Black,Coupe,Gas,1400.0,3150000
أوبل جراند لاند 2019,2019,أوبل,جراند لاند,أوتوماتيك,مستعملة,130000,White,SUV,Gas,1600.0,1000000
رينو لوجان 2011,2011,رينو,لوجان,مانيوال,مستعملة,170000,Silver,Sedan,Gas,1600.0,275000
بريليانس جالينا 2006,2006,بريليانس,جالينا,أوتوماتيك,مستعملة,135000,Black,Sedan,Gas,1600.0,300000
بي ام دبليو 316i 2013,2013,بي ام دبليو,316i,أوتوماتيك,مستعملة,255000,Black,Sedan,Gas,1600.0,920000
فيات تيبو 2022,2022,فيات,تيبو,أوتوماتيك,مستعملة,43000,Gray,Sedan,Gas,1600.0,800000
سكودا اوكتافيا 2026,2026,سكودا,اوكتافيا,أوتوماتيك,جديدة,0,Gray,Sedan,Gas,1400.0,1800000
مرسيدس C180 2025,2025,مرسيدس,C180,أوتوماتيك,جديدة,0,Black,Sedan,Gas,1500.0,3750000
مرسيدس E200 2025,2025,مرسيدس,E200,أوتوماتيك,جديدة,0,Black,Sedan,Gas,2000.0,5400000
مرسيدس GLC 300 2025,2025,مرسيدس,GLC 300,أوتوماتيك,جديدة,0,White,SUV,Gas,2000.0,5250000
نيسان صني 2026,2026,نيسان,صني,أوتوماتيك,جديدة,0,Silver,Sedan,Gas,1500.0,680000
سكودا كودياك 2026,2026,سكودا,كودياك,أوتوماتيك,جديدة,0,Gray,SUV,Gas,1400.0,2700000
أودي Q3 2025,2025,أودي,Q3,أوتوماتيك,جديدة,0,Dark Grey,SUV,Gas,1400.0,2750000
مرسيدس V300 2026,2026,مرسيدس,V300,أوتوماتيك,جديدة,0,Black,SUV,Gas,2000.0,6800000
مرسيدس CLA 200 2026,2026,مرسيدس,CLA 200,أوتوماتيك,جديدة,0,Black,Sedan,Gas,1300.0,3240000
هافال H7 2026,2026,هافال,H7,أوتوماتيك,جديدة,0,White,SUV,Gas,1500.0,1690000
أودي Q8 2025,2025,أودي,Q8,أوتوماتيك,جديدة,0,Black,SUV,Gas,3000.0,7000000
مرسيدس C180 2026,2026,مرسيدس,C180,أوتوماتيك,جديدة,0,Black,Sedan,Gas,1500.0,3850000
بيجو 301 2021,2021,بيجو,301,أوتوماتيك,مستعملة,107000,Silver,Sedan,Gas,1600.0,620000
أودي A5 2025,2025,أودي,A5,أوتوماتيك,جديدة,0,Black,Sedan,Gas,2000.0,4400000
مرسيدس GLE 450 2023,2023,مرسيدس,GLE 450,أوتوماتيك,مستعملة,42616,White,SUV,Gas,3000.0,4750000
فولكس فاجن تيجوان 2026,2026,فولكس فاجن,تيجوان,أوتوماتيك,جديدة,0,Gray,SUV,Gas,1400.0,2365000
هافال H6 2026,2026,هافال,H6,أوتوماتيك,جديدة,0,Silver,SUV,Gas,1500.0,1300000
أودي A5 2025,2025,أودي,A5,أوتوماتيك,جديدة,0,Navy Blue,Sedan,Gas,2000.0,3300000
مرسيدس CLS 350 2019,2019,مرسيدس,CLS 350,أوتوماتيك,مستعملة,85000,Gray,Sedan,Gas,2000.0,3300000
جيب جراند شيروكى 2007,2007,جيب,جراند شيروكى,أوتوماتيك,مستعملة,230000,Silver,SUV,Gas,5700.0,1100000
مرسيدس C200 2026,2026,مرسيدس,C200,أوتوماتيك,جديدة,0,Black,Sedan,Gas,1500.0,4175000
تويوتا لاند كروزر 2025,2025,تويوتا,لاند كروزر,أوتوماتيك,جديدة,0,Black,SUV,Gas,3500.0,10150000
أوبل جراند لاند 2026,2026,أوبل,جراند لاند,أوتوماتيك,جديدة,0,Gray,SUV,Gas,1600.0,2070000
سكودا اوكتافيا 2025,2025,سكودا,اوكتافيا,أوتوماتيك,جديدة,0,Black,Sedan,Gas,1400.0,1950000
سكودا كاروك 2026,2026,سكودا,كاروك,أوتوماتيك,جديدة,0,Black,Hatchback,Gas,1400.0,1950000
هافال جوليان برو 2026,2026,هافال,جوليان برو,أوتوماتيك,جديدة,0,Gray,SUV,Gas,1500.0,1200000
بي ام دبليو 218i 2020,2020,بي ام دبليو,218i,أوتوماتيك,مستعملة,132000,Black,Sedan,Gas,1500.0,1450000
سكودا كودياك 2020,2020,سكودا,كودياك,أوتوماتيك,مستعملة,71000,Silver,SUV,Gas,1400.0,1790000
بي ام دبليو 520i 2026,2026,بي ام دبليو,520i,أوتوماتيك,مستعملة,3000,Black,Sedan,Gas,1600.0,4650000
بي ام دبليو 320i 2026,2026,بي ام دبليو,320i,أوتوماتيك,مستعملة,4000,Gray,Sedan,Gas,1600.0,2875000
كيا سبورتاج 2026,2026,كيا,سبورتاج,أوتوماتيك,جديدة,0,White,SUV,Gas,1600.0,1725000
بي ام دبليو M4 2026,2026,بي ام دبليو,M4,أوتوماتيك,جديدة,0,White,Coupe,Gas,3000.0,12500000
مرسيدس C200 2022,2022,مرسيدس,C200,أوتوماتيك,مستعملة,22000,Silver,Sedan,Gas,1500.0,3050000
مرسيدس GLC 200 2025,2025,مرسيدس,GLC 200,أوتوماتيك,مستعملة,9000,Black,SUV,Hybrid,2000.0,4950000
فولكس فاجن تيجوان 2026,2026,فولكس فاجن,تيجوان,أوتوماتيك,جديدة,0,Navy Blue,SUV,Gas,1400.0,2390000
إم جي 7 2026,2026,إم جي,7,أوتوماتيك,جديدة,0,Green,Sedan,Gas,1500.0,1535200
هوندا سيتي 2013,2013,هوندا,سيتي,أوتوماتيك,مستعملة,110000,Brown,Sedan,Gas,1500.0,650000
إم جي 5 2023,2023,إم جي,5,أوتوماتيك,مستعملة,105000,Black,Sedan,Gas,1500.0,700000
فورد موستانج 2024,2024,فورد,موستانج,أوتوماتيك,مستعملة,18393,Red,Coupe,Gas,2400.0,4800000
تويوتا كورولا 2026,2026,تويوتا,كورولا,أوتوماتيك,جديدة,0,White,Sedan,Gas,1400.0,1200000
تويوتا كورولا 2026,2026,تويوتا,كورولا,أوتوماتيك,جديدة,0,White,Sedan,Gas,1500.0,1540000
جيتور T2 2026,2026,جيتور,T2,أوتوماتيك,جديدة,0,Black,SUV,Gas,1500.0,1775000
شيري اريزو 5 2026,2026,شيري,اريزو 5,أوتوماتيك,جديدة,0,White,Sedan,Gas,1500.0,730000
ميتسوبيشي اكليبس كروس 2026,2026,ميتسوبيشي,اكليبس كروس,أوتوماتيك,جديدة,0,Brown,SUV,Gas,1500.0,1470000
سكودا كودياك 2025,2025,سكودا,كودياك,أوتوماتيك,جديدة,0,Gray,SUV,Gas,1400.0,2800000
كيا كرنفال 2026,2026,كيا,كرنفال,أوتوماتيك,جديدة,0,Black,SUV,Gas,1500.0,3400000
ميتسوبيشي اكليبس كروس 2025,2025,ميتسوبيشي,اكليبس كروس,أوتوماتيك,جديدة,0,Bronze,SUV,Gas,1500.0,1405000
شيري تيجو 8 2025,2025,شيري,تيجو 8,أوتوماتيك,جديدة,0,White,SUV,Gas,1500.0,1140000
شيري تيجو 4 برو 2026,2026,شيري,تيجو 4 برو,أوتوماتيك,جديدة,0,Blue,SUV,Gas,1500.0,915000
بروتون ساجا 2025,2025,بروتون,ساجا,أوتوماتيك,جديدة,0,White,Sedan,Gas,1400.0,635000
سكودا كودياك 2024,2024,سكودا,كودياك,أوتوماتيك,جديدة,0,Black,SUV,Gas,1600.0,2600000
شيفروليه اوبترا 2026,2026,شيفروليه,اوبترا,أوتوماتيك,جديدة,0,Blue,Sedan,Gas,1500.0,750000
هيونداى توسان 2025,2025,هيونداى,توسان,أوتوماتيك,جديدة,0,White,SUV,Gas,1600.0,1900000
بروتون ساجا 2026,2026,بروتون,ساجا,أوتوماتيك,جديدة,0,Red,Sedan,Gas,1300.0,650000
شيري اريزو 8 2026,2026,شيري,اريزو 8,أوتوماتيك,جديدة,0,Black,Sedan,Gas,1600.0,1430000
تويوتا كورولا 2026,2026,تويوتا,كورولا,أوتوماتيك,جديدة,0,Baby Blue,Sedan,Gas,1600.0,1290000
هيونداى I30 2026,2026,هيونداى,I30,أوتوماتيك,جديدة,0,Silver,Sedan,Gas,1500.0,1300000
هيونداى أكسنت 2026,2026,هيونداى,أكسنت,أوتوماتيك,جديدة,0,Silver,Sedan,Gas,1600.0,830000
بيجو 308 2016,2016,بيجو,308,أوتوماتيك,مستعملة,157600,Black,Hatchback,Gas,1600.0,610000
نيسان قشقاي 2017,2017,نيسان,قشقاي,أوتوماتيك,مستعملة,103000,Maroon,SUV,Gas,1200.0,850000
كيا جراند سيراتو 2019,2019,كيا,جراند سيراتو,أوتوماتيك,مستعملة,195000,Gray,Sedan,Gas,1600.0,820000
نيسان صني 2018,2018,نيسان,صني,أوتوماتيك,مستعملة,250000,Gray,Sedan,Gas,1500.0,460000
مرسيدس C200 2019,2019,مرسيدس,C200,أوتوماتيك,مستعملة,60000,White,Sedan,Gas,1500.0,2350000
ميتسوبيشي لانسر 2016,2016,ميتسوبيشي,لانسر,أوتوماتيك,مستعملة,110000,Maroon,Sedan,Gas,1600.0,625000
نيسان سنترا 2026,2026,نيسان,سنترا,أوتوماتيك,جديدة,0,Silver,Sedan,Gas,1600.0,875000
شيفروليه ايكونوكس 2019,2019,شيفروليه,ايكونوكس,أوتوماتيك,مستعملة,183000,Red,SUV,Gas,1500.0,875000
شيري اريزو 5 2026,2026,شيري,اريزو 5,مانيوال,جديدة,0,Gray,Sedan,Gas,1500.0,665000
جيتور داشينج 2026,2026,جيتور,داشينج,أوتوماتيك,جديدة,0,Black,SUV,Gas,1600.0,1515000
مرسيدس E300 2025,2025,مرسيدس,E300,أوتوماتيك,جديدة,0,Black,Sedan,Gas,2000.0,5890000
ميتسوبيشي اكليبس كروس 2025,2025,ميتسوبيشي,اكليبس كروس,أوتوماتيك,مستعملة,18000,Black,SUV,Gas,1500.0,1550000
مرسيدس C200 2014,2014,مرسيدس,C200,أوتوماتيك,مستعملة,320000,Black,Sedan,Gas,1800.0,1100000
بي ام دبليو 740i 2025,2025,بي ام دبليو,740i,أوتوماتيك,مستعملة,5500,Black,Sedan,Gas,3000.0,10000000
مرسيدس C180 2020,2020,مرسيدس,C180,أوتوماتيك,مستعملة,76000,Gray,Sedan,Gas,1500.0,2400000
بيجو 301 2015,2015,بيجو,301,أوتوماتيك,مستعملة,160000,Silver,Sedan,Gas,1600.0,460000
فيات 500C 2016,2016,فيات,500C,أوتوماتيك,مستعملة,140000,Black,Hatchback,Gas,1400.0,620000
مرسيدس E200 2021,2021,مرسيدس,E200,أوتوماتيك,مستعملة,8000,Black,Sedan,Gas,2000.0,4000000
أودي A6 2023,2023,أودي,A6,أوتوماتيك,مستعملة,45000,Black,Sedan,Gas,2000.0,3200000
جي إيه سي إم زووم 2026,2026,جي إيه سي,إم زووم,أوتوماتيك,جديدة,0,Gray,SUV,Gas,1500.0,1055000
جي إيه سي GS4 Max 2026,2026,جي إيه سي,GS4 Max,أوتوماتيك,جديدة,0,Gray,SUV,Gas,1500.0,1350000
جي إيه سي إمباو 2026,2026,جي إيه سي,إمباو,أوتوماتيك,جديدة,0,Green,Sedan,Gas,1500.0,995000
شيري تيجو 4 برو 2025,2025,شيري,تيجو 4 برو,أوتوماتيك,مستعملة,15000,Black,SUV,Gas,1500.0,880000
مرسيدس C180 2013,2013,مرسيدس,C180,أوتوماتيك,مستعملة,180000,Silver,Sedan,Gas,1600.0,1300000
هيونداى توسان 2021,2021,هيونداى,توسان,أوتوماتيك,مستعملة,102000,White,SUV,Gas,1600.0,1350000
كايي X3 Pro 2026,2026,كايي,X3 Pro,أوتوماتيك,جديدة,0,Blue,SUV,Gas,1500.0,909000
مرسيدس GLE 450 2023,2023,مرسيدس,GLE 450,أوتوماتيك,مستعملة,19500,Gray,SUV,Gas,3000.0,6000000
شانجان إيدو 2026,2026,شانجان,إيدو,أوتوماتيك,جديدة,0,Bronze,Sedan,Gas,1500.0,1000000
مرسيدس GLC 200 2025,2025,مرسيدس,GLC 200,أوتوماتيك,جديدة,0,Black,SUV,Gas,1500.0,4750000
سكودا كودياك 2022,2022,سكودا,كودياك,أوتوماتيك,مستعملة,78000,Blue,SUV,Gas,1400.0,1900000
بي ام دبليو 530i 2019,2019,بي ام دبليو,530i,أوتوماتيك,مستعملة,70000,White,Sedan,Gas,2000.0,2500000
مرسيدس C180 2025,2025,مرسيدس,C180,أوتوماتيك,جديدة,0,Dark Grey,Sedan,Gas,1500.0,3250000
أودي Q3 2021,2021,أودي,Q3,أوتوماتيك,مستعملة,123000,Silver,Hatchback,Gas,1400.0,1700000
سوزوكي إسبريسو 2025,2025,سوزوكي,إسبريسو,أوتوماتيك,جديدة,0,Blue,Hatchback,Gas,1000.0,641350
فيات سيينا 2008,2008,فيات,سيينا,مانيوال,مستعملة,150000,Maroon,Sedan,Gas,1500.0,165000
فولكس فاجن باسات 2022,2022,فولكس فاجن,باسات,أوتوماتيك,مستعملة,35000,Blue,Sedan,Gas,1400.0,1600000
مرسيدس GLC 300 COUPE 2026,2026,مرسيدس,GLC 300 COUPE,أوتوماتيك,جديدة,0,Black,Coupe,Gas,2000.0,5500000
رينج روفر VOGUE 2025,2025,رينج روفر,VOGUE,أوتوماتيك,جديدة,0,Black,SUV,Gas,4000.0,16000000
رينج روفر ايفوك 2026,2026,رينج روفر,ايفوك,أوتوماتيك,جديدة,0,Silver,SUV,Hybrid,2000.0,4000000
بورش ماكان 2024,2024,بورش,ماكان,أوتوماتيك,جديدة,0,Black,SUV,Gas,3000.0,4200000
رينج روفر ايفوك 2026,2026,رينج روفر,ايفوك,أوتوماتيك,جديدة,0,White,SUV,Hybrid,2000.0,4000000
جيتور داشينج 2026,2026,جيتور,داشينج,أوتوماتيك,جديدة,0,Black,SUV,Gas,1600.0,1445000
بورش ماكان 2026,2026,بورش,ماكان,أوتوماتيك,جديدة,0,Black,SUV,Gas,2000.0,5650000
دي إس DS 4 2023,2023,دي إس,DS 4,أوتوماتيك,جديدة,0,Red,Hatchback,Gas,1600.0,1750000
ميتسوبيشي باجيرو 2018,2018,ميتسوبيشي,باجيرو,أوتوماتيك,مستعملة,47000,Gray,SUV,Gas,3800.0,2500000
بي ام دبليو 320i 2026,2026,بي ام دبليو,320i,أوتوماتيك,مستعملة,6000,Blue,Sedan,Gas,1600.0,3300000
بي ام دبليو X1 2025,2025,بي ام دبليو,X1,أوتوماتيك,مستعملة,600,Silver,SUV,Gas,1500.0,3100000
مرسيدس B 200 2023,2023,مرسيدس,B 200,أوتوماتيك,مستعملة,400,Black,Hatchback,Gas,1500.0,2200000
إم جي HS 2026,2026,إم جي,HS,أوتوماتيك,جديدة,0,White,SUV,Hybrid,1500.0,1610950
إم جي HS 2026,2026,إم جي,HS,أوتوماتيك,جديدة,0,Black,SUV,Gas,1500.0,1650000
بايك U5 Plus 2025,2025,بايك,U5 Plus,أوتوماتيك,جديدة,0,Silver,Sedan,Gas,1500.0,853073
شيفروليه اوبترا 2026,2026,شيفروليه,اوبترا,أوتوماتيك,جديدة,0,White,Sedan,Gas,1500.0,742350
بيجو 2008 2021,2008,بيجو,2021,أوتوماتيك,مستعملة,118000,Black,SUV,Diesel,1200.0,850000
لاند روفر رانج روفر 2024,2024,لاند روفر,رانج,أوتوماتيك,مستعملة,8000,Gray,SUV,Gas,2000.0,5000000
مرسيدس E200 2022,2022,مرسيدس,E200,أوتوماتيك,مستعملة,60000,Gray,Sedan,Gas,2000.0,5600000
مرسيدس GLS 580 2024,2024,مرسيدس,GLS 580,أوتوماتيك,مستعملة,20094,Black,SUV,Gas,4000.0,8050000
سكودا اوكتافيا 2007,2007,سكودا,اوكتافيا,أوتوماتيك,مستعملة,176000,Baby Blue,Sedan,Gas,1600.0,530000
سكودا كودياك 2025,2025,سكودا,كودياك,أوتوماتيك,جديدة,0,White,SUV,Gas,1400.0,3000000
إم جي 5 2026,2026,إم جي,5,أوتوماتيك,جديدة,0,Red,Sedan,Gas,1500.0,890000
إم جي 5 2026,2026,إم جي,5,أوتوماتيك,جديدة,0,Silver,Sedan,Gas,1500.0,893850
تويوتا فورتشنر 2026,2026,تويوتا,فورتشنر,أوتوماتيك,جديدة,0,Gray,SUV,Gas,4000.0,3535000
فيات تيبو 2022,2022,فيات,تيبو,أوتوماتيك,مستعملة,35000,Gray,Sedan,Diesel,1600.0,900000
شانجان CS55 بلس 2026,2026,شانجان,CS55 بلس,أوتوماتيك,جديدة,0,Black,SUV,Gas,1500.0,1181700
بي ام دبليو 740i 2020,2020,بي ام دبليو,740i,أوتوماتيك,مستعملة,157000,Navy Blue,Sedan,Gas,3000.0,3500000
هيونداى اكسل 1997,1997,هيونداى,اكسل,مانيوال,مستعملة,99999,Baby Blue,Sedan,Gas,1300.0,125000
بيجو 301 2018,2018,بيجو,301,أوتوماتيك,مستعملة,275000,Champagne,Sedan,Diesel,1600.0,590000
مازدا 3 2008,2008,مازدا,3,أوتوماتيك,مستعملة,85000,Gray,Sedan,Gas,1600.0,520000
رينج روفر VOGUE 2018,2018,رينج روفر,VOGUE,أوتوماتيك,مستعملة,130000,Gray,SUV,Gas,3000.0,5500000
مرسيدس CLA 180 2018,2018,مرسيدس,CLA 180,أوتوماتيك,مستعملة,220000,Black,Coupe,Gas,1600.0,1200000
هيونداى توسان 2019,2019,هيونداى,توسان,أوتوماتيك,مستعملة,130000,Black,SUV,Gas,1600.0,1175000
مرسيدس C200 2026,2026,مرسيدس,C200,أوتوماتيك,جديدة,0,White,Sedan,Gas,1500.0,3950000
هيونداى أكسنت RB 2012,2012,هيونداى,أكسنت RB,مانيوال,مستعملة,180000,Bronze,Sedan,Gas,1500.0,370000
مرسيدس V300 2026,2026,مرسيدس,V300,أوتوماتيك,جديدة,0,Black,Van,Gas,2000.0,8000000
إم جي ZS 2026,2026,إم جي,ZS,أوتوماتيك,جديدة,0,Blue,SUV,Gas,1500.0,1100900
مرسيدس E200 2021,2021,مرسيدس,E200,أوتوماتيك,مستعملة,35000,Black,Sedan,Gas,2000.0,3500000
هيونداى توسان NX4e 2021,2021,هيونداى,توسان NX4e,أوتوماتيك,مستعملة,72000,Navy Blue,SUV,Gas,1600.0,1500000
نيسان سنترا 2026,2026,نيسان,سنترا,أوتوماتيك,جديدة,0,Silver,Sedan,Gas,1600.0,888800
كيا سيراتو 2014,2014,كيا,سيراتو,أوتوماتيك,مستعملة,290000,Black,Sedan,Gas,1500.0,600000
أوبل أسترا 2020,2020,أوبل,أسترا,أوتوماتيك,مستعملة,72500,White,Sedan,Gas,1400.0,740000
بي واى دى F3 2015,2015,بي واى دى,F3,مانيوال,مستعملة,250000,White,Sedan,Gas,1600.0,325000
مرسيدس C200 2022,2022,مرسيدس,C200,أوتوماتيك,مستعملة,51000,Champagne,Sedan,Gas,1500.0,2800000
بي ام دبليو X1 2019,2019,بي ام دبليو,X1,أوتوماتيك,مستعملة,108000,Black,SUV,Gas,2000.0,1650000
ستروين سى اليزيه 2019,2019,ستروين,سى اليزيه,أوتوماتيك,مستعملة,76000,Navy Blue,Sedan,Diesel,1600.0,610000
بيجو 301 2015,2015,بيجو,301,أوتوماتيك,مستعملة,153000,Black,Sedan,Gas,1600.0,470000
تويوتا كورولا 2024,2024,تويوتا,كورولا,أوتوماتيك,مستعملة,5000,White,Sedan,Gas,1600.0,1250000
كيا سيراتو 2018,2018,كيا,سيراتو,أوتوماتيك,مستعملة,170000,Gray,Sedan,Gas,1600.0,730000
شيفروليه ماليبو 2019,2019,شيفروليه,ماليبو,أوتوماتيك,مستعملة,145000,Gray,Sedan,Gas,1500.0,1050000
بي ام دبليو 530i 2019,2019,بي ام دبليو,530i,أوتوماتيك,مستعملة,49000,Gray,Sedan,Gas,2000.0,2800000
فولكس فاجن بولو 2014,2014,فولكس فاجن,بولو,أوتوماتيك,مستعملة,307600,Blue,Sedan,Gas,1600.0,450000
بي ام دبليو X5 2021,2021,بي ام دبليو,X5,أوتوماتيك,مستعملة,120000,Black,SUV,Gas,4400.0,3850000
أودي A3 2020,2020,أودي,A3,أوتوماتيك,مستعملة,57000,Red,Sedan,Gas,1400.0,1500000
بي ام دبليو X1 2025,2025,بي ام دبليو,X1,أوتوماتيك,مستعملة,50,Black,SUV,Gas,1500.0,3000000
إم جي 6 2022,2022,إم جي,6,أوتوماتيك,مستعملة,151000,White,Sedan,Gas,1500.0,790000
نيسان صني 2003,2003,نيسان,صني,أوتوماتيك,مستعملة,330000,White,Sedan,Gas,1300.0,390000
رينو لوجان 2016,2016,رينو,لوجان,أوتوماتيك,مستعملة,191000,Red,Sedan,Gas,1600.0,370000
مرسيدس C180 2023,2023,مرسيدس,C180,أوتوماتيك,مستعملة,4000,Silver,Sedan,Gas,1400.0,2600000
بيجو 3008 2021,2021,بيجو,3008,أوتوماتيك,مستعملة,35000,Bronze,SUV,Gas,1600.0,1250000
نيسان سنترا 2017,2017,نيسان,سنترا,أوتوماتيك,مستعملة,40000,Bronze,Sedan,Gas,1600.0,700000
هيونداى I30 2011,2011,هيونداى,I30,مانيوال,مستعملة,90000,Black,SUV,Gas,1500.0,450000
مرسيدس CLA 180 2021,2021,مرسيدس,CLA 180,أوتوماتيك,مستعملة,115000,White,Sedan,Gas,1600.0,1900000
كيا K3 2022,2022,كيا,K3,أوتوماتيك,جديدة,0,White,Sedan,Gas,1600.0,1200000
هيونداى النترا CN7 2024,2024,هيونداى,النترا CN7,أوتوماتيك,جديدة,0,Black,Sedan,Gas,1600.0,1550000
كيا K3 2022,2022,كيا,K3,أوتوماتيك,مستعملة,50,White,Sedan,Gas,1600.0,1350000
هيونداى فيرنا 2012,2012,هيونداى,فيرنا,مانيوال,مستعملة,130000,Silver,Sedan,Gas,1600.0,300000
فيات تمبرا 1990,1990,فيات,تمبرا,مانيوال,مستعملة,250000,Silver,Sedan,Gas,1600.0,125000
هيونداى توسان 2019,2019,هيونداى,توسان,أوتوماتيك,مستعملة,90000,White,SUV,Gas,1600.0,1330000
